file_name,file_type,file_label,label_start_year,label_end_year,best_guess_start_date,best_guess_end_date,time_interpretation,time_basis,evidence_level,needs_recheck,recheck_priority,notes
1700.pdf,single_year,1700,1700,1700,1699-11-02?,1700-11-02?,"likely early accounting year volume, but sampled page only shows a year heading",adjacent early-modern convention inference,medium,yes,medium,1700 first page shows year heading but not the full start/end formula visible in later early files.
1701.pdf,single_year,1701,1701,1701,1700-11-02,1701-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
1702.pdf,single_year,1702,1702,1702,1701-11-02,1702-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1703.pdf,single_year,1703,1703,1703,1702-11-02,1703-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1704.pdf,single_year,1704,1704,1704,1703-11-02,1704-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1705.pdf,single_year,1705,1705,1705,1704-11-02,1705-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1706.pdf,single_year,1706,1706,1706,1705-11-02,1706-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1707.pdf,single_year,1707,1707,1707,1706-11-02,1707-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1708.pdf,single_year,1708,1708,1708,1707-11-02,1708-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1709.pdf,single_year,1709,1709,1709,1708-11-02,1709-11-02,probable accounting year ending in the label year,inferred from repeated early-modern single-year title-page convention,medium,recommended,medium,"Not individually visually verified in this pass, but nearby sampled files repeatedly use the 2 Nov (year-1) to 2 Nov (year) formula."
1710.pdf,single_year,1710,1710,1710,1709-11-02,1710-11-02,single-year file appears to be an accounting year ending in the label year,visually sampled single-year title-page convention,high,no,,Sampled title page shows formula like: a 2do die Novembris (year-1) ad eundem diem revolutam (year).
