page,oracle_score,full_ensemble_score,final_score,score_vs_oracle,score_vs_ensemble,pipeline_used,api_calls,n_skipped,extractors_skipped,gemini_correct,gemini_true,gemini_pred,gemini_conf,gpt_correct,gpt_true,gpt_pred,gpt_conf,claude_correct,claude_true,claude_pred,claude_conf
1700_7,0.6825,0.6786,0.6825,1.0,1.0057471264367817,v2_no_claude,2,1,claude,True,0,0,0.6,False,0,1,0.6,True,1,1,0.8
1704_1,0.9305,0.8674,0.9305,1.0,1.0727461378833296,v2_no_claude,2,1,claude,True,0,0,0.6,False,1,0,0.6,True,1,1,0.8
1709_1,0.8383,0.8275,0.8138,0.9707741858523201,0.9834441087613293,v2_no_gpt,1,2,"gpt,claude",True,0,0,0.6,False,0,1,1.0,True,1,1,0.8
1713_7,0.972,0.9258,0.9376,0.9646090534979423,1.0127457334197452,v2_no_claude,2,1,claude,False,0,1,0.6,True,1,1,0.6,True,1,1,0.8
1719_2,0.8563,0.8563,0.8563,1.0,1.0,v2_no_gpt,1,2,"gpt,claude",False,0,1,0.6,True,1,1,1.0,True,1,1,0.8
1725_3,0.9492,0.8092,0.8092,0.8525073746312685,1.0,v2_no_gpt,1,2,"gpt,claude",False,1,0,0.6,True,1,1,0.8,True,1,1,1.0
1731_1,1.0,1.0,1.0,1.0,1.0,v2_no_gpt,1,2,"gpt,claude",False,1,0,0.6,True,1,1,0.8,True,1,1,1.0
1744_5,0.8595,0.7894,0.8179,0.9515997673065735,1.0361033696478337,v2_no_gpt,1,2,"gpt,claude",False,1,0,1.0,True,1,1,0.8,False,0,1,1.0
1753_4,0.7292,0.5861,0.5666,0.7770159078442128,0.9667292270943526,v2_no_gpt,1,2,"gpt,claude",False,1,0,0.6,False,0,1,1.0,True,1,1,1.0
1759-1760_3,0.8431,0.8014,0.83,0.9844621041394852,1.035687546793112,v2_no_gpt,1,2,"gpt,claude",False,0,1,0.6,True,1,1,0.8,True,1,1,1.0
1767_7,0.8261,0.8258,0.8261,1.0,1.000363284088157,v2_no_gpt,1,2,"gpt,claude",False,0,1,0.6,True,1,1,1.0,True,1,1,0.8
1774-1775_5,0.9331,0.917,0.917,0.9827456864216054,1.0,v2_full,3,0,none,False,0,1,0.8,False,0,1,0.8,True,1,1,0.8
1783-1784_2,0.8202,0.811,0.811,0.9887832236039991,1.0,v2_no_claude,2,1,claude,False,0,1,0.6,True,1,1,0.6,True,1,1,0.8
1788-1789_3,1.0,0.917,0.917,0.917,1.0,v2_no_claude,2,1,claude,True,1,1,0.6,True,1,1,0.6,True,1,1,0.8
1795-1796_1,0.9552,0.8563,0.9067,0.9492252931323282,1.0588578769122972,v2_no_claude,2,1,claude,True,1,1,0.6,True,1,1,0.6,True,1,1,0.8
1801_1,0.9873,0.9873,0.9873,1.0,1.0,v2_full,3,0,none,True,1,1,0.8,True,1,1,0.8,True,1,1,0.8
1807_4,0.8845,0.8015,0.8015,0.9061616732617298,1.0,v2_full,3,0,none,False,1,0,0.6,False,1,0,0.6,True,1,1,0.6
1814_2,0.8893,0.8287,0.8287,0.9318565163611829,1.0,v2_full,3,0,none,True,1,1,0.8,True,1,1,0.8,True,1,1,0.8
1819_5,0.8638,0.8638,0.8638,1.0,1.0,v2_full,3,0,none,False,0,1,0.8,False,0,1,0.8,False,0,1,0.8
1825_10,0.9015,0.8994,0.8704,0.9655019412090959,0.9677562819657549,v2_no_gpt,1,2,"gpt,claude",False,0,1,0.6,False,0,1,0.8,True,1,1,0.8
1831_10,0.9618,0.9618,0.9618,1.0,1.0,v2_full,3,0,none,False,0,1,1.0,False,0,1,1.0,False,0,1,1.0
1838_9,0.8421,0.7391,0.7391,0.8776867355420972,1.0,v2_full,3,0,none,True,1,1,0.8,True,1,1,0.8,True,1,1,0.8
1844_7,1.0,1.0,0.8916,0.8916,0.8916,v2_no_gpt,1,2,"gpt,claude",False,0,1,0.6,False,0,1,0.8,False,0,1,1.0
1850_4,0.8851,0.8224,0.8224,0.9291605468308666,1.0,v2_full,3,0,none,True,1,1,0.8,True,1,1,0.8,True,1,1,0.8
1855_7,0.9859,0.9595,0.9757,0.9896541231362207,1.0168837936425221,v2_no_claude,2,1,claude,False,1,0,0.6,True,1,1,0.6,True,1,1,0.8
1860_1,0.9497,0.8128,0.8128,0.85584921554175,1.0,v2_full,3,0,none,True,1,1,0.8,True,1,1,0.8,True,1,1,1.0
1865_3,0.8681,0.7179,0.791,0.9111853473102178,1.1018247666805963,v2_no_claude,2,1,claude,False,1,0,0.8,False,1,0,0.6,True,1,1,0.8
1869_8,0.7969,0.7638,0.6754,0.8475341950056469,0.8842628960460853,v2_no_gpt,1,2,"gpt,claude",True,1,1,0.6,False,0,1,0.8,False,0,1,1.0
1873_5,0.7452,0.6549,0.6518,0.8746645195920559,0.9952664528935715,v2_no_claude,2,1,claude,False,1,0,0.8,False,1,0,0.6,True,1,1,0.8
1881_1,0.7592,0.7592,0.6599,0.8692044257112751,0.8692044257112751,v2_no_claude,2,1,claude,True,0,0,0.8,True,0,0,0.6,False,0,1,0.8
1889_4,0.9706,0.9136,0.9136,0.941273439109829,1.0,v2_full,3,0,none,False,0,1,0.6,False,0,1,0.6,True,1,1,0.6
1895_2,0.9596,0.9377,0.9344,0.9737390579408086,0.9964807507731684,v2_no_claude,2,1,claude,True,1,1,0.6,True,1,1,0.6,True,1,1,0.8
1900_6,0.8444,0.7617,0.7617,0.9020606347702511,1.0,v2_full,3,0,none,True,1,1,0.8,True,1,1,0.8,True,1,1,0.8
