page,pipeline,model_combo,final_axis1,final_axis2,final_combined,axis2_match,axis2_similarity,axis2_fraction,config,row_count_score,type_count_score,header_text_score,amount_match_score,amount_similarity_score,fraction_match_score,supervisor_model,extractor_models
1700_7,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.5132,0.7087,0.6501,0.7778,0.9708,0.1429,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9,0.6396,0.0,0.7778,0.9708,0.1429,gemini-flash,gemini-flash|claude-haiku
1700_7,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.6213,0.7032,0.6786,0.7778,0.9525,0.1429,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9,0.964,0.0,0.7778,0.9525,0.1429,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1700_7,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.5,0.5301,0.5211,0.5185,0.9029,0.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.5,0.0,0.5185,0.9029,0.0,gemini-flash,gpt-5-mini|claude-haiku
1700_7,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.6213,0.7087,0.6825,0.7778,0.9708,0.1429,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9,0.964,0.0,0.7778,0.9708,0.1429,gemini-flash,gemini-flash|gpt-5-mini
1704_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7065,0.9438,0.8726,0.8889,0.9977,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9655,0.6538,0.5,0.8889,0.9977,1.0,gemini-flash,gemini-flash|claude-haiku
1704_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.7137,0.9333,0.8674,1.0,1.0,0.6667,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.641,0.5,1.0,1.0,0.6667,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1704_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.5838,0.9333,0.8284,1.0,1.0,0.6667,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.931,0.8205,0.0,1.0,1.0,0.6667,gemini-flash,gpt-5-mini|claude-haiku
1704_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8333,0.9721,0.9305,0.9444,0.9995,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,0.5,0.9444,0.9995,1.0,gemini-flash,gemini-flash|gpt-5-mini
1709_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8382,0.8034,0.8138,0.875,0.9975,0.3333,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9459,0.5686,1.0,0.875,0.9975,0.3333,gemini-flash,gemini-flash|claude-haiku
1709_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8349,0.8244,0.8275,0.9167,0.9979,0.3333,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9459,0.5588,1.0,0.9167,0.9979,0.3333,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1709_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8889,0.739,0.784,0.7917,0.9958,0.2222,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.6667,1.0,0.7917,0.9958,0.2222,gemini-flash,gpt-5-mini|claude-haiku
1709_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8709,0.8244,0.8383,0.9167,0.9979,0.3333,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9459,0.6667,1.0,0.9167,0.9979,0.3333,gemini-flash,gemini-flash|gpt-5-mini
1713_7,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8853,0.96,0.9376,1.0,1.0,0.8,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,0.6559,1.0,1.0,1.0,0.8,gemini-flash,gemini-flash|claude-haiku
1713_7,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8853,0.9432,0.9258,0.9667,0.9996,0.8,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,0.6559,1.0,0.9667,0.9996,0.8,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1713_7,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8853,0.9029,0.8976,0.9667,0.9986,0.6,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,0.6559,1.0,0.9667,0.9986,0.6,gemini-flash,gpt-5-mini|claude-haiku
1713_7,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8853,0.96,0.9376,1.0,1.0,0.8,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,0.6559,1.0,1.0,1.0,0.8,gemini-flash,gemini-flash|gpt-5-mini
1719_2,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8731,0.8491,0.8563,0.9,0.9971,0.5,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9722,0.6471,1.0,0.9,0.9971,0.5,gemini-flash,gemini-flash|claude-haiku
1719_2,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8731,0.8491,0.8563,0.9,0.9971,0.5,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9722,0.6471,1.0,0.9,0.9971,0.5,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1719_2,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.9875,0.7791,0.8416,0.8,0.9305,0.5,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.9722,0.9902,1.0,0.8,0.9305,0.5,gemini-flash,gpt-5-mini|claude-haiku
1719_2,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8731,0.8491,0.8563,0.9,0.9971,0.5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9722,0.6471,1.0,0.9,0.9971,0.5,gemini-flash,gemini-flash|gpt-5-mini
1725_3,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.8308,0.8,0.8092,1.0,1.0,0.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.9167,0.5758,1.0,1.0,1.0,0.0,gemini-flash,gemini-flash|claude-haiku
1725_3,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.8308,0.8,0.8092,1.0,1.0,0.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.9167,0.5758,1.0,1.0,1.0,0.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1725_3,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,0.8611,0.8,0.8183,1.0,1.0,0.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],0.9167,0.6667,1.0,1.0,1.0,0.0,gemini-flash,gpt-5-mini|claude-haiku
1725_3,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,0.8308,0.8,0.8092,1.0,1.0,0.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],0.9167,0.5758,1.0,1.0,1.0,0.0,gemini-flash,gemini-flash|gpt-5-mini
1731_1,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,1.0,1.0,1.0,1.0,1.0,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash],1.0,1.0,1.0,1.0,1.0,1.0,gemini-flash,gemini-flash|claude-haiku
1731_1,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,1.0,1.0,1.0,1.0,1.0,1.0,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,1.0,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
1731_1,v2_no_gemini,gpt-5-mini|claude-haiku->gemini-flash,1.0,1.0,1.0,1.0,1.0,1.0,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,1.0,gemini-flash,gpt-5-mini|claude-haiku
1731_1,v2_no_claude,gemini-flash|gpt-5-mini->gemini-flash,1.0,1.0,1.0,1.0,1.0,1.0,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],1.0,1.0,1.0,1.0,1.0,1.0,gemini-flash,gemini-flash|gpt-5-mini
1744_5,v2_no_gpt,gemini-flash|claude-haiku->gemini-flash,0.7615,0.8421,0.8179,0.8382,0.9932,0.625,supervisor_gemini-flash_[claude-haiku_gemini-flash],0.7941,0.4904,1.0,0.8382,0.9932,0.625,gemini-flash,gemini-flash|claude-haiku
1744_5,v2_full,gemini-flash|gpt-5-mini|claude-haiku->gemini-flash,0.7615,0.8013,0.7894,0.8235,0.9652,0.5,supervisor_gemini-flash_[claude-haiku_gemini-flash_gpt-5-mini],0.7941,0.4904,1.0,0.8235,0.9652,0.5,gemini-flash,gemini-flash|gpt-5-mini|claude-haiku
