page,config,pipeline,row_count_score,type_count_score,header_text_score,axis1_score,axis2_match,axis2_similarity,axis2_fraction,axis2_score,amount_match_score,amount_similarity_score,fraction_match_score,combined_score,structurer_model,extractor_model,corrector_model
1700_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.85,0.6306,0.0,0.4935,0.7037,0.9654,0.5714,0.7557,0.7037,0.9654,0.5714,0.6246,gemini-flash,gemini-pro,gpt-5-mini
1704_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.641,0.5,0.7137,0.8889,0.9758,0.3333,0.8038,0.8889,0.9758,0.3333,0.7588,gemini-flash,gemini-pro,gpt-5-mini
1709_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9459,0.6667,0.0,0.5375,0.9167,0.9836,0.5556,0.8645,0.9167,0.9836,0.5556,0.701,gemini-flash,gemini-pro,gpt-5-mini
1713_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.96,1.0,1.0,0.8,0.98,gemini-flash,gemini-pro,gpt-5-mini
1719_2,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9722,0.451,1.0,0.8077,0.8,0.9863,0.0,0.6959,0.8,0.9863,0.0,0.7518,gemini-flash,gemini-pro,gpt-5-mini
1725_3,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9167,0.5758,1.0,0.8308,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9154,gemini-flash,gemini-pro,gpt-5-mini
1731_1,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.9583,0.8333,0.5,0.7639,0.9545,0.9948,1.0,0.9757,0.9545,0.9948,1.0,0.8698,gemini-flash,gemini-pro,gpt-5-mini
1744_5,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.7941,0.6538,1.0,0.816,0.8529,0.9981,0.5,0.8259,0.8529,0.9981,0.5,0.8209,gemini-flash,gemini-pro,gpt-5-mini
1753_4,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,0.6842,0.3593,1.0,0.6812,0.6944,0.942,0.6,0.7498,0.6944,0.942,0.6,0.7155,gemini-flash,gemini-pro,gpt-5-mini
1759-1760_3,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,1.0,1.0,1.0,0.7407,0.9721,0.0,0.662,0.7407,0.9721,0.0,0.831,gemini-flash,gemini-pro,gpt-5-mini
1767_7,corrector_gemini-flash_gemini-pro_gpt-5-mini,v1,1.0,0.6322,0.0,0.5441,0.8276,0.9818,0.7143,0.8512,0.8276,0.9818,0.7143,0.6976,gemini-flash,gemini-pro,gpt-5-mini
