page,config,pipeline,row_count_score,type_count_score,header_text_score,axis1_score,axis2_match,axis2_similarity,axis2_fraction,axis2_score,amount_match_score,amount_similarity_score,fraction_match_score,combined_score,supervisor_model,extractor_models
1700_7,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],v3,0.95,0.982,0.0,0.644,0.5185,0.8914,0.0,0.5267,0.5185,0.8914,0.0,0.5619,gemini-flash,gpt-5-mini|claude-haiku
1700_7,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9,0.6396,0.0,0.5132,0.7407,0.972,0.4286,0.7477,0.7407,0.972,0.4286,0.6774,gemini-flash,gemini-flash|gpt-5-mini
1704_1,supervisor_gemini-flash_[claude-haiku_gpt-5-mini],v3,0.9655,0.641,0.0,0.5355,0.9444,0.9763,0.3333,0.8318,0.9444,0.9763,0.3333,0.7429,gemini-flash,gpt-5-mini|claude-haiku
1704_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9655,0.641,0.0,0.5355,0.9444,0.9763,0.3333,0.8318,0.9444,0.9763,0.3333,0.7429,gemini-flash,gemini-flash|gpt-5-mini
1709_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.8919,0.6667,0.0,0.5195,0.8333,0.9878,0.4444,0.8019,0.8333,0.9878,0.4444,0.7172,gemini-flash,gemini-flash|gpt-5-mini
1713_7,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,0.6559,1.0,0.8853,0.9667,0.9962,0.7,0.9222,0.9667,0.9962,0.7,0.9111,gemini-flash,gemini-flash|gpt-5-mini
1719_2,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9722,0.6471,1.0,0.8731,0.7,0.9451,0.5,0.7335,0.7,0.9451,0.5,0.7754,gemini-flash,gemini-flash|gpt-5-mini
1725_3,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.75,0.303,1.0,0.6843,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9053,gemini-flash,gemini-flash|gpt-5-mini
1731_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9583,0.8333,0.5,0.7639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9292,gemini-flash,gemini-flash|gpt-5-mini
1744_5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.8235,0.9231,1.0,0.9155,0.8235,0.9959,0.625,0.8355,0.8235,0.9959,0.625,0.8595,gemini-flash,gemini-flash|gpt-5-mini
1753_4,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9474,0.8745,1.0,0.9406,0.4722,0.9411,0.2,0.5584,0.4722,0.9411,0.2,0.6731,gemini-flash,gemini-flash|gpt-5-mini
1759-1760_3,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,1.0,1.0,1.0,0.8519,0.9621,0.0,0.7146,0.8519,0.9621,0.0,0.8002,gemini-flash,gemini-flash|gpt-5-mini
1767_7,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,1.0,0.0,0.6667,0.8966,0.9465,0.7143,0.8751,0.8966,0.9465,0.7143,0.8126,gemini-flash,gemini-flash|gpt-5-mini
1774-1775_5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9545,0.8333,1.0,0.9293,0.95,0.9994,0.6,0.8948,0.95,0.9994,0.6,0.9052,gemini-flash,gemini-flash|gpt-5-mini
1783-1784_2,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.7955,0.796,0.6,0.7305,0.7237,0.9485,1.0,0.8464,0.7237,0.9485,1.0,0.8116,gemini-flash,gemini-flash|gpt-5-mini
1788-1789_3,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9643,0.8889,0.6667,0.8399,1.0,1.0,0.75,0.95,1.0,1.0,0.75,0.917,gemini-flash,gemini-flash|gpt-5-mini
1795-1796_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,0.8188,0.5,0.7729,0.82,0.9503,1.0,0.8951,0.82,0.9503,1.0,0.8584,gemini-flash,gemini-flash|gpt-5-mini
1801_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,1.0,1.0,1.0,1.0,1.0,0.9091,0.9818,1.0,1.0,0.9091,0.9873,gemini-flash,gemini-flash|gpt-5-mini
1807_4,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.6364,0.4524,0.0,0.3629,0.5,0.7695,1.0,0.6809,0.5,0.7695,1.0,0.5855,gemini-flash,gemini-flash|gpt-5-mini
1814_2,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9706,0.9667,0.7,0.8791,0.7391,0.9845,0.5,0.7649,0.7391,0.9845,0.5,0.7992,gemini-flash,gemini-flash|gpt-5-mini
1819_5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,0.8,0.5,0.7667,0.7778,0.9106,0.8,0.8221,0.7778,0.9106,0.8,0.8055,gemini-flash,gemini-flash|gpt-5-mini
1825_10,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,1.0,1.0,1.0,0.7692,0.9815,0.8889,0.8568,0.7692,0.9815,0.8889,0.8998,gemini-flash,gemini-flash|gpt-5-mini
1831_10,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9655,0.8889,0.6667,0.8404,0.875,0.998,0.8333,0.9036,0.875,0.998,0.8333,0.8846,gemini-flash,gemini-flash|gpt-5-mini
1838_9,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.8966,0.8,0.8,0.8322,0.75,0.8931,0.6667,0.7763,0.75,0.8931,0.6667,0.7931,gemini-flash,gemini-flash|gpt-5-mini
1844_7,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.92,0.8667,0.8,0.8622,0.5789,0.8371,1.0,0.7406,0.5789,0.8371,1.0,0.7771,gemini-flash,gemini-flash|gpt-5-mini
1850_4,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9706,0.9896,0.0,0.6534,0.9697,0.9986,1.0,0.9844,0.9697,0.9986,1.0,0.8851,gemini-flash,gemini-flash|gpt-5-mini
1855_7,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,1.0,1.0,1.0,1.0,0.8824,0.9579,1.0,0.9286,0.8824,0.9579,1.0,0.95,gemini-flash,gemini-flash|gpt-5-mini
1860_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9167,0.7778,0.6667,0.787,0.7143,0.8689,1.0,0.8178,0.7143,0.8689,1.0,0.8086,gemini-flash,gemini-flash|gpt-5-mini
1865_3,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.6765,0.2903,1.0,0.6556,0.4844,0.9402,1.0,0.7242,0.4844,0.9402,1.0,0.7036,gemini-flash,gemini-flash|gpt-5-mini
1869_8,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9474,0.4902,1.0,0.8125,0.7,0.9357,0.6667,0.764,0.7,0.9357,0.6667,0.7785,gemini-flash,gemini-flash|gpt-5-mini
1873_5,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.975,0.9137,0.4,0.7629,0.6857,0.9824,0.5,0.7376,0.6857,0.9824,0.5,0.7452,gemini-flash,gemini-flash|gpt-5-mini
1881_1,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.931,0.7061,0.2,0.6124,0.5833,0.9027,0.0,0.5625,0.5833,0.9027,0.0,0.5775,gemini-flash,gemini-flash|gpt-5-mini
1889_4,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9483,0.6261,1.0,0.8581,0.8469,0.974,1.0,0.9157,0.8469,0.974,1.0,0.8984,gemini-flash,gemini-flash|gpt-5-mini
1895_2,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.9722,0.8483,0.8333,0.8846,0.8833,0.96,1.0,0.9297,0.8833,0.96,1.0,0.9162,gemini-flash,gemini-flash|gpt-5-mini
1900_6,supervisor_gemini-flash_[gemini-flash_gpt-5-mini],v3,0.75,0.6722,0.3333,0.5852,0.6765,0.9705,1.0,0.8294,0.6765,0.9705,1.0,0.7561,gemini-flash,gemini-flash|gpt-5-mini
